	CD8 T	B	CD4 T	FCGR3A Monocytes	NK	CD14 Monocytes
0	0.32	0.0964	0.1202	0.1966	0.089	0.1778
0	0.168	0.122	0.1248	0.2252	0.3254	0.0346
0	0.098	0.077	0.2296	0.2202	0.1296	0.2456
0	0.189	0.0474	0.0418	0.221	0.1826	0.3182
0	0.0666	0.1368	0.1512	0.1152	0.3702	0.16
0	0.8616	0.0332	0.0248	0.0174	0.0134	0.0496
0	0.013	0.1822	0.0348	0.4804	0.021	0.2686
0	0.1782	0.0948	0.3208	0.0774	0.291	0.0378
0	0.1402	0.1148	0.3584	0.214	0.0636	0.109
0	0.1572	0.1248	0.161	0.339	0.0858	0.1322
0	0.125	0.0748	0.0302	0.0556	0.1578	0.5566
0	0.1582	0.1202	0.0566	0.1472	0.0374	0.4804
0	0.0334	0.3566	0.0562	0.3586	0.1296	0.0656
0	0.0656	0.529	0.0162	0.0922	0.0154	0.2816
0	0.2422	0.3072	0.0888	0.112	0.1916	0.0582
0	0.0576	0.0886	0.0226	0.6348	0.131	0.0654
0	0.339	0.064	0.0406	0.226	0.221	0.1094
0	0.0628	0.0508	0.1202	0.4462	0.2392	0.0808
0	0.2942	0.1752	0.1842	0.205	0.0888	0.0526
0	0.4262	0.1024	0.1796	0.1744	0.0616	0.0558
0	0.1838	0.1196	0.2966	0.2444	0.0432	0.1124
0	0.0998	0.022	0.242	0.508	0.1116	0.0166
0	0.525	0.1526	0.0518	0.0494	0.1494	0.0718
0	0.2652	0.1318	0.045	0.3286	0.021	0.2084
0	0.086	0.7286	0.0724	0.0636	0.0238	0.0256
0	0.1524	0.2792	0.2098	0.13	0.0432	0.1854
0	0.0438	0.0472	0.0186	0.7202	0.0942	0.076
0	0.2166	0.0396	0.0762	0.271	0.1804	0.2162
0	0.0124	0.0236	0.0126	0.0282	0.1012	0.822
0	0.136	0.489	0.191	0.0864	0.0296	0.068
0	0.1416	0.0748	0.1236	0.417	0.1024	0.1406
0	0.0192	0.0562	0.013	0.1986	0.2574	0.4556
0	0.0862	0.0402	0.0344	0.0756	0.0836	0.68
0	0.0722	0.1532	0.0956	0.206	0.396	0.077
0	0.2086	0.099	0.0594	0.5404	0.0852	0.0074
0	0.0622	0.0674	0.0812	0.2408	0.4532	0.0952
0	0.1062	0.1062	0.473	0.0512	0.2244	0.039
0	0.3026	0.1328	0.2024	0.0628	0.2742	0.0252
0	0.1952	0.0186	0.0204	0.6778	0.063	0.025
0	0.1696	0.1764	0.0406	0.0988	0.1326	0.382
0	0.0324	0.0896	0.1192	0.53	0.0298	0.199
0	0.099	0.1356	0.1182	0.0646	0.3054	0.2772
0	0.1542	0.16	0.1524	0.376	0.0116	0.1458
0	0.2024	0.0936	0.326	0.1842	0.1168	0.077
0	0.0376	0.1558	0.0786	0.0678	0.5422	0.118
0	0.5274	0.1426	0.079	0.0612	0.14	0.0498
0	0.3486	0.1718	0.0828	0.2444	0.098	0.0544
0	0.149	0.166	0.2468	0.3546	0.0146	0.069
0	0.0564	0.422	0.2426	0.0644	0.0822	0.1324
0	0.182	0.1174	0.0488	0.2252	0.2348	0.1918
0	0.0472	0.7544	0.0112	0.0512	0.0658	0.0702
0	0.1188	0.5222	0.1218	0.0816	0.105	0.0506
0	0.0416	0.113	0.4652	0.1128	0.052	0.2154
0	0.5952	0.0564	0.12	0.011	0.1106	0.1068
0	0.08	0.1244	0.0674	0.4096	0.2808	0.0378
0	0.4498	0.0784	0.0394	0.0358	0.2508	0.1458
0	0.3616	0.044	0.0902	0.0876	0.2048	0.2118
0	0.1234	0.033	0.0928	0.0878	0.0852	0.5778
0	0.0338	0.4938	0.0724	0.0216	0.1154	0.263
0	0.0844	0.1742	0.0588	0.4	0.0584	0.2242
0	0.1334	0.3686	0.0852	0.2258	0.0928	0.0942
0	0.0422	0.1278	0.0696	0.1716	0.3048	0.284
0	0.1274	0.0302	0.1538	0.1718	0.0388	0.478
0	0.1432	0.4006	0.0798	0.2556	0.0818	0.039
0	0.0628	0.4528	0.2794	0.063	0.0992	0.0428
0	0.1024	0.536	0.022	0.1608	0.1618	0.017
0	0.416	0.0064	0.0184	0.093	0.4446	0.0216
0	0.0136	0.0244	0.088	0.4666	0.2546	0.1528
0	0.1608	0.0612	0.0594	0.5342	0.1044	0.08
0	0.2294	0.009	0.0526	0.3882	0.1022	0.2186
0	0.0262	0.3188	0.1066	0.0646	0.135	0.3488
0	0.1114	0.1272	0.0832	0.0426	0.4634	0.1722
0	0.2164	0.1852	0.0342	0.0446	0.3084	0.2112
0	0.1046	0.0294	0.2322	0.4724	0.1188	0.0426
0	0.5242	0.06	0.1576	0.0652	0.0872	0.1058
0	0.3686	0.043	0.054	0.2752	0.1746	0.0846
0	0.0468	0.0552	0.2252	0.2668	0.1282	0.2778
0	0.136	0.0474	0.1606	0.304	0.0572	0.2948
0	0.0264	0.0232	0.3214	0.2996	0.2324	0.097
0	0.1712	0.184	0.089	0.105	0.16	0.2908
0	0.0318	0.054	0.4478	0.3582	0.0348	0.0734
0	0.2624	0.3826	0.1186	0.1776	0.02	0.0388
0	0.2274	0.0368	0.557	0.028	0.071	0.0798
0	0.1186	0.0356	0.297	0.0696	0.322	0.1572
0	0.037	0.0462	0.1628	0.0706	0.5598	0.1236
0	0.5808	0.217	0.0378	0.0118	0.1036	0.049
0	0.0448	0.0316	0.016	0.0322	0.7804	0.095
0	0.3712	0.0242	0.0572	0.0918	0.2494	0.2062
0	0.358	0.2854	0.0814	0.14	0.0358	0.0994
0	0.0826	0.1248	0.312	0.075	0.074	0.3316
0	0.191	0.1366	0.0964	0.3682	0.1056	0.1022
0	0.0366	0.0246	0.0794	0.6958	0.1306	0.033
0	0.0554	0.0408	0.5006	0.1458	0.0956	0.1618
0	0.2518	0.4854	0.0342	0.0516	0.013	0.164
0	0.156	0.1128	0.271	0.2958	0.0764	0.088
0	0.0418	0.6508	0.0028	0.0394	0.097	0.1682
0	0.0562	0.044	0.0802	0.2464	0.0292	0.544
0	0.0534	0.3552	0.0304	0.171	0.317	0.073
0	0.0744	0.1066	0.1096	0.0232	0.2162	0.47
0	0.0444	0.041	0.3038	0.1336	0.1428	0.3344
0	0.0504	0.5064	0.0406	0.076	0.2332	0.0934
0	0.0186	0.1844	0.1638	0.1898	0.3778	0.0656
0	0.2092	0.0282	0.034	0.231	0.3928	0.1048
0	0.2832	0.0176	0.063	0.2296	0.3	0.1066
0	0.3344	0.2838	0.0756	0.0316	0.2002	0.0744
0	0.0378	0.2972	0.2226	0.2482	0.0174	0.1768
0	0.0202	0.856	0.0078	0.0848	0.018	0.0132
0	0.2206	0.1586	0.2766	0.0262	0.035	0.283
0	0.217	0.4456	0.0608	0.1264	0.0478	0.1024
0	0.1514	0.3588	0.0772	0.1374	0.0366	0.2386
0	0.3464	0.1618	0.3042	0.0072	0.174	0.0064
0	0.139	0.542	0.023	0.0828	0.0976	0.1156
0	0.053	0.1698	0.0932	0.5296	0.0336	0.1208
0	0.189	0.2068	0.1868	0.0582	0.1962	0.163
0	0.0658	0.182	0.1178	0.5004	0.048	0.086
0	0.0672	0.0554	0.234	0.1498	0.4588	0.0348
0	0.0444	0.1614	0.2072	0.044	0.517	0.026
0	0.1238	0.2074	0.0948	0.1232	0.0574	0.3934
0	0.6312	0.2254	0.0244	0.0066	0.0116	0.1008
0	0.0322	0.1238	0.2706	0.0718	0.222	0.2796
0	0.0468	0.2234	0.0522	0.1468	0.0376	0.4932
0	0.1122	0.0756	0.247	0.1422	0.338	0.085
0	0.1386	0.1774	0.0794	0.1808	0.1804	0.2434
0	0.0876	0.356	0.162	0.0902	0.1268	0.1774
0	0.4698	0.0078	0.1328	0.1378	0.0524	0.1994
0	0.0664	0.075	0.399	0.1674	0.0986	0.1936
0	0.2734	0.0156	0.4946	0.08	0.0894	0.047
0	0.3198	0.1148	0.3476	0.0102	0.0938	0.1138
0	0.0824	0.0676	0.0142	0.746	0.045	0.0448
0	0.1066	0.1624	0.1746	0.1524	0.183	0.221
0	0.2338	0.2494	0.2176	0.0416	0.1706	0.087
